trial,observer,date,time,location,treatment,conspecificsIn1m,tailPresent,tailColor,initialPosition,sizecm,percentFoliage,windBeaufort,preHopN,preLookN,preOutOfSightN,preRunN,preWalkN,preOutOfSightTT,preHopRate,preLookRate,preRunRate,preWalkRate,preLocomotionRate,post15HopN,post15LookN,post15OutOfSightN,post15RunN,post15WalkN,post15OutOfSightTT,post15HopRate,post15LookRate,post15RunRate,post15WalkRate,post15LocomotionRate,lookRateDiff,locomotionRateDiff,SD,AD,FID,comments
1,CK,01_18_20,1444, Juice Factory,silent,0,Y,2,leaf,2.7,0.95,1,0,16,0,0,3,0,0,0.533333333,0,0.1,0.1,1,3,0,0,1,0,0.066666667,0.2,0,0.066666667,0.133333333,-0.333333333,0.033333333,312,NA,NA,flushed during post
2,CK,01_20_20,832, Road,white,0,Y,1,leaf,3.1,0.8,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,1,1,1,0,11520,0,0.287356322,0.287356322,0,0.287356322,0.220689655,0.287356322,371,NA,NA,flushed during post
3,CK,01_20_20,927, Road,silent,0,Y,1,leaf,3.1,1,0,0,3,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.033333333,0,402,NA,219,
4,CK,01_20_20,952, Road,white,3,Y,3,log,2.8,0.8,0,0,3,0,0,0,0,0,0.1,0,0,0,0,8,0,1,1,0,0,0.533333333,0.066666667,0.066666667,0.133333333,0.433333333,0.133333333,330,NA,266,
5,CK,01_20_20,1017, Road,silent,2,Y,3,log,2.5,1,0,3,7,0,0,7,0,0.1,0.233333333,0,0.233333333,0.333333333,0,1,1,0,2,12539,0,0.406338887,0,0.812677773,0.812677773,0.173005553,0.47934444,407,NA,NA,flushed during post
6,CK,01_20_20,1043, Road,white,1,Y,2,log,3.2,1,0,1,6,2,0,4,9208,0.048095421,0.288572528,0,0.192381685,0.240477107,0,4,2,0,3,7233,0,0.514999356,0,0.386249517,0.386249517,0.226426828,0.145772411,393,NA,NA,flushed during post
7,CK,01_20_20,1355, Road,silent,0,Y,2,rock,2.2,1,1,0,1,0,0,0,0,0,0.033333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.1,0,263,NA,229,
8,CK,01_20_20,1449, Road,white,0,Y,2,log,3.4,0.9,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.066666667,0,432,NA,83,
9,CK,01_20_20,1540, Road,silent,0,Y,1,log,3.2,1,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.1,0,357,NA,232,
10,CK,01_22_20,751, Gump,silent,3,Y,3,leaf,3.5,1,0,0,13,0,0,2,0,0,0.433333333,0,0.066666667,0.066666667,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.366666667,-0.066666667,353,NA,158,
11,CK,01_22_20,819, Gump,white,2,Y,1,rock,3.1,1,0,0,8,0,0,1,0,0,0.266666667,0,0.033333333,0.033333333,0,2,0,0,0,0,0,0.133333333,0,0,0,-0.133333333,-0.033333333,415,NA,240,
12,CK,01_22_20,928, Gump,white,0,Y,1,rock,3,0.9,0,0,19,0,0,4,0,0,0.633333333,0,0.133333333,0.133333333,0,7,0,0,0,0,0,0.466666667,0,0,0,-0.166666667,-0.133333333,365,258,236,
13,CK,01_22_20,952, Gump,silent,1,Y,2,log,4,1,1,0,9,0,0,2,0,0,0.3,0,0.066666667,0.066666667,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.233333333,-0.066666667,329,NA,265,
14,CK,01_22_20,1055, Juice Factory,white,1,Y,2,rock,3.1,1,1,0,6,0,0,1,0,0,0.2,0,0.033333333,0.033333333,0,4,1,1,2,6752,0,0.484966052,0.121241513,0.242483026,0.363724539,0.284966052,0.330391206,338,NA,NA,flushed during post
15,CK,01_22_20,1132, Juice Factory,silent,1,Y,2,rock,3.5,1,0,0,20,1,0,7,4611,0,0.787742723,0,0.275709953,0.275709953,2,1,0,0,3,0,0.133333333,0.066666667,0,0.2,0.333333333,-0.721076057,0.05762338,444,NA,164,
16,CK,01_22_20,1428, Gump,white,0,Y,1,log,3.4,0.75,0,0,4,1,1,3,7542,0,0.17811025,0.044527563,0.133582688,0.17811025,1,2,1,0,3,8854,0.162707452,0.325414904,0,0.488122356,0.650829808,0.147304654,0.472719558,470,NA,310,
17,CK,01_22_20,1502, Gump,silent,0,Y,2,ground,2.8,1,0,0,22,1,0,9,28,0,0.734018417,0,0.300280262,0.300280262,0,8,1,0,6,502,0,0.551800248,0,0.413850186,0.413850186,-0.182218169,0.113569925,434,NA,196,
18,CK,01_22_20,1539, Gump,white,2,Y,1,log,3,0.2,0,0,3,0,0,0,0,0,0.1,0,0,0,0,7,0,0,0,0,0,0.466666667,0,0,0,0.366666667,0,354,NA,NA,flushed during post Unsure if correct species
19,CK,01_24_20,837, Juice Factory,silent,0,Y,3,rock,3.9,1,2,0,14,0,0,0,0,0,0.466666667,0,0,0,0,9,0,0,4,0,0,0.6,0,0.266666667,0.266666667,0.133333333,0.266666667,640,NA,313,beaufort 2
20,CK,01_24_20,1021, Juice Factory,white,4,Y,1,log,3,0.2,0,0,5,0,0,0,0,0,0.166666667,0,0,0,0,5,0,0,0,0,0,0.333333333,0,0,0,0.166666667,0,430,NA,186,
21,CK,01_24_20,1038, Juice Factory,silent,2,N,1,log,3.2,0.8,0,0,6,0,0,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,-0.066666667,0,480,NA,337,
22,CK,01_24_20,1058, Juice Factory,white,1,Y,2,log,3.5,0.6,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,393,NA,248,
23,CK,01_24_20,1130, Juice Factory,silent,1,Y,3,log,4.1,0.9,0,0,23,0,0,3,0,0,0.766666667,0,0.1,0.1,0,3,0,0,0,0,0,0.2,0,0,0,-0.566666667,-0.1,346,NA,255,
24,CK,01_26_20,913, Road,white,0,Y,2,log,3.6,1,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0,0,381,NA,190,
25,CK,01_26_20,1020, Road,white,0,Y,2,leaf,2.5,1,1,0,2,0,0,1,0,0,0.066666667,0,0.033333333,0.033333333,0,1,0,0,0,0,0,0.066666667,0,0,0,0,-0.033333333,392,NA,292,beaufort 2 before trial caused leaf with skink on it to bounce 1 during trial
26,CK,01_26_20,1049, Road,silent,2,Y,3,log,2.2,0.5,1,0,3,0,0,1,0,0,0.1,0,0.033333333,0.033333333,0,1,0,0,0,0,0,0.066666667,0,0,0,-0.033333333,-0.033333333,290,NA,272,
27,CK,01_26_20,1125, Road,silent,1,Y,2,ground,4.2,0.9,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,4,0,0,0,0,0,0.266666667,0,0,0,0.2,0,303,NA,199,loud creek behind this path
28,CK,01_26_20,1143, Gump,white,0,Y,1,ground,3.4,0.3,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.1,0,323,NA,192,
29,CK,01_26_20,1331, Gump,silent,0,Y,2,coconut,3.5,1,1,1,23,0,0,6,0,0.033333333,0.766666667,0,0.2,0.233333333,1,12,0,0,0,0,0.066666667,0.8,0,0,0.066666667,0.033333333,-0.166666667,199,NA,176,approached me during focal causing short SD
30,CK,01_26_20,1454, Gump,white,0,Y,2,log,2.2,1,0,0,13,0,0,4,0,0,0.433333333,0,0.133333333,0.133333333,2,0,3,0,4,8676,0.316255534,0,0,0.632511069,0.948766603,-0.433333333,0.81543327,335,NA,NA,flushed during post. rooster sounds in background
31,CK,01_26_20,1506, Gump,silent,0,Y,1,log,3,0.9,0,0,27,0,0,6,0,0,0.9,0,0.2,0.2,0,3,0,0,0,0,0,0.2,0,0,0,-0.7,-0.2,230,NA,152,approached me during focal. ran from me before trial and I waited to begin trial
32,CK,01_28_20,846, Gump,white,0,Y,2,rock,3.6,1,0,2,6,2,0,4,7502,0.088896791,0.266690372,0,0.177793582,0.266690372,0,4,0,0,0,0,0,0.266666667,0,0,0,-2.37058E-05,-0.266690372,300,NA,253,went oos then returned and I think it was the same individual
33,CK,01_28_20,956, Gump,white,1,Y,2,leaf,2,0.9,0,0,16,1,0,3,100,0,0.535117057,0,0.100334448,0.100334448,0,5,2,0,2,2880,0,0.412541254,0,0.165016502,0.165016502,-0.122575803,0.064682053,394,NA,211,came towards me during focal
34,CK,01_28_20,1401, Gump,silent,1,Y,1,log,3,1,0,0,2,0,0,0,0,0,0.066666667,0,0,0,0,1,0,0,1,0,0,0.066666667,0,0.066666667,0.066666667,0,0.066666667,173,NA,138,skink walking during my approach
35,CK,01_28_20,1426, Gump,white,0,Y,1,log,2.5,1,0,1,9,2,0,7,8147,0.045760308,0.411842768,0,0.320322153,0.36608246,1,0,1,1,2,10290,0.212314225,0,0.212314225,0.42462845,0.8492569,-0.411842768,0.48317444,240,NA,NA,flushed during post moved towards me during focal
36,CK,01_28_20,1440, Gump,silent,0,Y,3,ground,2.8,0.2,0,2,11,2,0,6,13708,0.122759637,0.675178001,0,0.36827891,0.491038547,2,2,3,0,5,3454,0.173220163,0.173220163,0,0.433050407,0.60627057,-0.501957839,0.115232023,257,NA,114,on opposite side of tree trunk for flush
37,CK,01_28_20,1512, Gump,white,0,Y,1,rock,3.4,0.9,0,1,10,0,0,6,0,0.033333333,0.333333333,0,0.2,0.233333333,0,11,1,0,4,500,0,0.75862069,0,0.275862069,0.275862069,0.425287356,0.042528736,345,NA,218,skink walking during my approach
38,CK,01_30_20,826, Pineapple Plantation,silent,0,Y,2,leaf,2.8,1,0,0,4,0,0,1,0,0,0.133333333,0,0.033333333,0.033333333,0,1,0,0,1,0,0,0.066666667,0,0.066666667,0.066666667,-0.066666667,0.033333333,265,NA,49,
39,CK,01_30_20,944, Pineapple Plantation,white,0,Y,2,leaf,3.8,0.9,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,285,NA,137,
40,CK,01_30_20,1016, Pineapple Plantation,silent,1,Y,1,log,3.4,0.1,1,0,6,0,0,0,0,0,0.2,0,0,0,0,3,0,0,0,0,0,0.2,0,0,0,0,0,322,NA,227,car forced me to move speaker and replace during measurement
41,CK,01_30_20,1034, Pineapple Plantation,white,0,Y,1,leaf,4.3,1,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,386,NA,140,car forced me to move speaker and replace during measurement x2
42,MW,01_20_20,701, Gump,white,0,Y,2,log,3.2,0.95,0,0,7,0,0,2,0,0,0.233333333,0,0.066666667,0.066666667,0,8,0,0,0,0,0,0.533333333,0,0,0,0.3,-0.066666667,382,237,192,
43,MW,01_20_20,719, Gump,silent,0,Y,1,branch,2.9,0.9,0,0,1,0,0,1,0,0,0.033333333,0,0.033333333,0.033333333,1,5,0,0,3,0,0.066666667,0.333333333,0,0.2,0.266666667,0.3,0.233333333,389,NA,240,
44,MW,01_20_20,755, Gump,white,1,Y,1,leaf,1.9,1,0,0,1,0,0,0,0,0,0.033333333,0,0,0,4,5,1,0,1,4760,0.390625,0.48828125,0,0.09765625,0.48828125,0.454947917,0.48828125,281,NA,NA,flushed during post
45,MW,01_20_20,825, Gump,silent,0,Y,1,rock,3.3,0.5,0,0,13,0,0,5,0,0,0.433333333,0,0.166666667,0.166666667,0,8,0,0,2,0,0,0.533333333,0,0.133333333,0.133333333,0.1,-0.033333333,375,NA,228,
46,MW,01_20_20,901, Gump,white,0,Y,1,rock,2.5,1,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,380,NA,231,
47,MW,01_20_20,932, Gump,silent,0,Y,2,rock,1.9,0.9,0,0,11,0,0,7,0,0,0.366666667,0,0.233333333,0.233333333,0,4,0,0,3,0,0,0.266666667,0,0.2,0.2,-0.1,-0.033333333,350,NA,180,
48,MW,01_20_20,1011, Gump,white,0,Y,2,branch,2.1,0.9,0,0,4,0,0,1,0,0,0.133333333,0,0.033333333,0.033333333,0,4,0,0,1,0,0,0.266666667,0,0.066666667,0.066666667,0.133333333,0.033333333,325,NA,140,
49,MW,01_20_20,1033, Gump,silent,0,Y,2,branch,2,1,0,0,9,0,0,4,0,0,0.3,0,0.133333333,0.133333333,0,4,0,0,1,0,0,0.266666667,0,0.066666667,0.066666667,-0.033333333,-0.066666667,360,250,97,
50,MW,01_20_20,1341, Gump,white,0,Y,1,branch,3.1,1,0,0,4,0,0,3,0,0,0.133333333,0,0.1,0.1,0,3,0,0,0,0,0,0.2,0,0,0,0.066666667,-0.1,330,NA,257,
51,MW,01_20_20,1431, Gump,silent,0,Y,2,branch,2.5,1,0,0,10,0,0,4,0,0,0.333333333,0,0.133333333,0.133333333,0,2,1,0,2,1701,0,0.150387247,0,0.150387247,0.150387247,-0.182946086,0.017053914,340,NA,NA,flushed during post
52,MW,01_20_20,1446, Gump,silent,0,Y,2,branch,1.9,0.9,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,349,NA,190,
53,MW,01_20_20,1516, Gump,white,0,Y,1,log,2.5,1,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,3,0,0,0,0,0,0.2,0,0,0,0.166666667,0,295,NA,NA,flushed during post
54,MW,01_20_20,1554, Gump,silent,0,Y,1,branch,1.5,0.9,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,3,0,0,0,0,0,0.2,0,0,0,0.166666667,0,299,NA,75,
55,MW,01_22_20,856, Pineapple Plantation,white,0,Y,2,leaf,2,0.8,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,2,1,0,0,11418,0,0.558347292,0,0,0,0.525013959,0,297,NA,NA,flushed during post
56,MW,01_22_20,905, Pineapple Plantation,silent,0,Y,2,leaf,2.5,0.2,0,1,12,1,0,8,3032,0.037080985,0.444971818,0,0.296647879,0.333728864,0,2,1,0,1,5858,0,0.21877051,0,0.109385255,0.109385255,-0.226201309,-0.224343609,310,NA,NA,flushed during post
57,MW,01_22_20,1015, Pineapple Plantation,silent,0,Y,1,leaf,2,0.8,0,1,4,0,0,2,0,0.033333333,0.133333333,0,0.066666667,0.1,0,3,0,0,0,0,0,0.2,0,0,0,0.066666667,-0.1,318,NA,102,
58,MW,01_22_20,1121, Pineapple Plantation,white,0,Y,1,grass,2.5,0.8,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.1,0,370,NA,190,
59,MW,01_22_20,1337, Gump,silent,0,Y,2,rock,2.5,0.9,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,1,0,0,0,0,0,0.066666667,0,0,0,0.033333333,0,320,NA,115,
60,MW,01_22_20,1417, Gump,white,0,Y,1,branch,1.9,0.9,0,0,1,0,0,0,0,0,0.033333333,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,0.1,0,299,NA,177,
